AttendeeID,Name,Email,Phone,EventID,Status,RegistrationDate
25,User25,user25@gmail.com,8881988384,109,Registered,2025-11-26
94,User94,user94@gmail.com,8872852789,109,Attended,2025-10-15
15,User15,user15@gmail.com,8963764597,109,Attended,2025-11-05
58,User58,user58@gmail.com,8071722055,109,Attended,2025-10-22
73,User73,user73@gmail.com,8976987348,109,Attended,2025-08-27
49,User49,user49@gmail.com,7323169889,109,Attended,2025-10-28
45,User45,user45@gmail.com,8125089309,109,Attended,2025-10-31
91,User91,user91@gmail.com,7496694873,109,Registered,2025-10-03
22,User22,user22@gmail.com,8498981529,109,Registered,2025-08-29
100,User100,user100@gmail.com,8418198351,109,Cancelled,2025-11-26
66,User66,user66@gmail.com,8426725702,109,Attended,2025-11-04
75,User75,user75@gmail.com,7957449367,109,Cancelled,2025-11-24
