AttendeeID,Name,Email,Phone,EventID,Status,RegistrationDate
11,User11,user11@gmail.com,8349409434,117,Attended,2025-09-23
62,User62,user62@gmail.com,7663801533,117,Cancelled,2025-10-19
84,User84,user84@gmail.com,8121910732,117,Attended,2025-08-29
54,User54,user54@gmail.com,7547374338,117,Cancelled,2025-10-21
31,User31,user31@gmail.com,7576775951,117,Attended,2025-09-04
60,User60,user60@gmail.com,9404681399,117,Attended,2025-10-29
50,User50,user50@gmail.com,7640183291,117,Attended,2025-10-31
69,User69,user69@gmail.com,7683749521,117,Registered,2025-11-17
64,User64,user64@gmail.com,8770791023,117,Cancelled,2025-11-08
55,User55,user55@gmail.com,8323959527,117,Attended,2025-11-17
